timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215532,ee6a3c8c030cfaacc065765d95991a448d59ad08,,1781258692,feat(ai): warn when AI wrapper is pointed at the PostHog AI Gateway (#658),,,17.49,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,0,,,
20260629_215532,800db99a70c5203f81b5c38f17afc11d2fcf9897,ee6a3c8c030cfaacc065765d95991a448d59ad08,1781268681,chore: Release v7.18.3 [skip ci],https://github.com/PostHog/posthog-python.git/compare/ee6a3c8c030cfaacc065765d95991a448d59ad08...800db99a70c5203f81b5c38f17afc11d2fcf9897,1.0,17.49,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,2.0
20260629_215532,b9f320808f44832fc3b4cdd6bcf0e0aad194b76d,800db99a70c5203f81b5c38f17afc11d2fcf9897,1781517387,feat(exception-capture): add client-side token bucket rate limiting (#662),https://github.com/PostHog/posthog-python.git/compare/800db99a70c5203f81b5c38f17afc11d2fcf9897...b9f320808f44832fc3b4cdd6bcf0e0aad194b76d,6.0,17.23,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,570.0
20260629_215532,fbff5adb11e04f1e850acec96acef50e5b4d2a15,b9f320808f44832fc3b4cdd6bcf0e0aad194b76d,1781517728,chore: Release v7.19.0 [skip ci],https://github.com/PostHog/posthog-python.git/compare/b9f320808f44832fc3b4cdd6bcf0e0aad194b76d...fbff5adb11e04f1e850acec96acef50e5b4d2a15,1.0,17.23,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,2.0
20260629_215532,8d416aef20f12c0c8c405baf7c7d08f3352f3632,fbff5adb11e04f1e850acec96acef50e5b4d2a15,1781520152,fix: add missing return type annotations (#640),https://github.com/PostHog/posthog-python.git/compare/fbff5adb11e04f1e850acec96acef50e5b4d2a15...8d416aef20f12c0c8c405baf7c7d08f3352f3632,2.0,17.23,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,17.0
20260629_215532,7f503491c75e188f1eb9c2dcefb599995173ccbd,8d416aef20f12c0c8c405baf7c7d08f3352f3632,1781522602,chore: Release v7.19.1 [skip ci],https://github.com/PostHog/posthog-python.git/compare/8d416aef20f12c0c8c405baf7c7d08f3352f3632...7f503491c75e188f1eb9c2dcefb599995173ccbd,1.0,17.23,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,2.0
20260629_215532,f926d61174173173aa144f9c7f502b5120d2f957,7f503491c75e188f1eb9c2dcefb599995173ccbd,1781547475,ci: add public API snapshot check (#667),https://github.com/PostHog/posthog-python.git/compare/7f503491c75e188f1eb9c2dcefb599995173ccbd...f926d61174173173aa144f9c7f502b5120d2f957,1.0,17.23,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,268.0
20260629_215532,98a305aec9601c84120b17c51ec467eab037aab3,f926d61174173173aa144f9c7f502b5120d2f957,1781704436,fix: increase default flush interval (#672),https://github.com/PostHog/posthog-python.git/compare/f926d61174173173aa144f9c7f502b5120d2f957...98a305aec9601c84120b17c51ec467eab037aab3,3.0,17.23,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,0,,,6.0
20260629_215532,d19e6ba7e3520c9312c3759dcad1711570f25720,98a305aec9601c84120b17c51ec467eab037aab3,1781705213,chore: Release v7.19.2 [skip ci],https://github.com/PostHog/posthog-python.git/compare/98a305aec9601c84120b17c51ec467eab037aab3...d19e6ba7e3520c9312c3759dcad1711570f25720,1.0,17.23,0,,0,,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:255=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1,,2.0
