timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215844,ea635371012aea7eea5e7fe119177280ef67ef26,ce5639d0b97cb178bf5d44af95b31362a98618eb,1762692588,Refactor: Use shared config.yaml for Docling container,https://github.com/ArtyomZemlyak/tg-note/compare/ce5639d0b97cb178bf5d44af95b31362a98618eb...ea635371012aea7eea5e7fe119177280ef67ef26,5.0,38.940000000000005,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,657.0
20260629_215844,d99b25f68722b1809311626433b2d7112e8f23d1,ea635371012aea7eea5e7fe119177280ef67ef26,1762696242,Add Docling MCP server configuration generation,https://github.com/ArtyomZemlyak/tg-note/compare/ea635371012aea7eea5e7fe119177280ef67ef26...d99b25f68722b1809311626433b2d7112e8f23d1,3.0,38.99,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,118.0
20260629_215844,a4380b03bdcd21e32bcb8bc8fd7a8abc57da775d,d99b25f68722b1809311626433b2d7112e8f23d1,1762697228,"Remove <br> tag, use newline character for line breaks",https://github.com/ArtyomZemlyak/tg-note/compare/d99b25f68722b1809311626433b2d7112e8f23d1...a4380b03bdcd21e32bcb8bc8fd7a8abc57da775d,3.0,39.0,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,18.0
20260629_215844,22e1d37f3e70a377782543cb3e5e6122a37357d2,a4380b03bdcd21e32bcb8bc8fd7a8abc57da775d,1762697927,feat: Add docling-mcp package and file processor enhancements,https://github.com/ArtyomZemlyak/tg-note/compare/a4380b03bdcd21e32bcb8bc8fd7a8abc57da775d...22e1d37f3e70a377782543cb3e5e6122a37357d2,22.0,38.98,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,1882.0
20260629_215844,207151602f651f5ecf2924c054b805529b2f989d,22e1d37f3e70a377782543cb3e5e6122a37357d2,1762699813,feat: Add base64 document ingestion for Docling MCP,https://github.com/ArtyomZemlyak/tg-note/compare/22e1d37f3e70a377782543cb3e5e6122a37357d2...207151602f651f5ecf2924c054b805529b2f989d,5.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,214.0
20260629_215844,fabd1cbec4ffc26b43495ef27e742e26e109453c,207151602f651f5ecf2924c054b805529b2f989d,1762701427,Refactor: Remove unnecessary files and update imports,https://github.com/ArtyomZemlyak/tg-note/compare/207151602f651f5ecf2924c054b805529b2f989d...fabd1cbec4ffc26b43495ef27e742e26e109453c,21.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,1869.0
20260629_215844,cd513ed5131c7572f94e3406decb17540a0c1e42,fabd1cbec4ffc26b43495ef27e742e26e109453c,1762750025,Fix pdf pipeline options error (#313),https://github.com/ArtyomZemlyak/tg-note/compare/fabd1cbec4ffc26b43495ef27e742e26e109453c...cd513ed5131c7572f94e3406decb17540a0c1e42,4.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,125.0
20260629_215844,7ea01263b219452a13df9ab39bd4fdb096bf045a,cd513ed5131c7572f94e3406decb17540a0c1e42,1762754169,feat: Add Docling multilingual support for Russian,https://github.com/ArtyomZemlyak/tg-note/compare/cd513ed5131c7572f94e3406decb17540a0c1e42...7ea01263b219452a13df9ab39bd4fdb096bf045a,1.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,8.0
20260629_215844,e792e961d2ff8b3abb1384c3239104d3dfef4dc7,7ea01263b219452a13df9ab39bd4fdb096bf045a,1762760847,Refactor: Move McpError to tg_docling exceptions,https://github.com/ArtyomZemlyak/tg-note/compare/7ea01263b219452a13df9ab39bd4fdb096bf045a...e792e961d2ff8b3abb1384c3239104d3dfef4dc7,2.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,25.0
20260629_215844,3a2d07341f48aedd4e5eb28c9b341430f4698001,e792e961d2ff8b3abb1384c3239104d3dfef4dc7,1762760942,Refactor: Replace McpError with RuntimeError for conversion errors,https://github.com/ArtyomZemlyak/tg-note/compare/e792e961d2ff8b3abb1384c3239104d3dfef4dc7...3a2d07341f48aedd4e5eb28c9b341430f4698001,2.0,39.24,0,,0,,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,5,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,,34.0
