timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215658,1a41fa127e3e74ecf9e0c8e2130fba32088343b8,,1759840211,only schema,,,69.86,5,InvalidComparisonAnalysis:/lib/python3.12/site-packages/proto/enums.py:29;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290;InvalidComparisonAnalysis:/src/utils.py:135;InvalidComparisonAnalysis:/src/utils.py:137;InvalidComparisonAnalysis:/src/utils.py:139,0,,5,InvalidComparisonAnalysis:/lib/python3.12/site-packages/proto/enums.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;InvalidComparisonAnalysis:/src/utils.py:135=1;InvalidComparisonAnalysis:/src/utils.py:137=1;InvalidComparisonAnalysis:/src/utils.py:139=1,0,,,
20260629_215658,49f43c540b35a79cb417d2176e79039f3626568f,1a41fa127e3e74ecf9e0c8e2130fba32088343b8,1759847964,.,https://github.com/naf01/text2SQL/compare/1a41fa127e3e74ecf9e0c8e2130fba32088343b8...49f43c540b35a79cb417d2176e79039f3626568f,2.0,71.17,0,,0,,5,InvalidComparisonAnalysis:/lib/python3.12/site-packages/proto/enums.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;InvalidComparisonAnalysis:/src/utils.py:135=1;InvalidComparisonAnalysis:/src/utils.py:137=1;InvalidComparisonAnalysis:/src/utils.py:139=1,5,InvalidComparisonAnalysis:/lib/python3.12/site-packages/proto/enums.py:29=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/pyparsing/util.py:290=1;InvalidComparisonAnalysis:/src/utils.py:135=1;InvalidComparisonAnalysis:/src/utils.py:137=1;InvalidComparisonAnalysis:/src/utils.py:139=1,,130.0
