timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping,python_lines_changed
20260629_215400,a58d67f1e63097f4d428fff2fff6b5902267a417,,1749982483,Initial port of classes from pydsol-core and djunits,,,99.73,30,InvalidComparisonAnalysis:/tests/test_units.py:436;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482;InvalidComparisonAnalysis:/tests/test_units.py:427;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333;InvalidComparisonAnalysis:/tests/test_units.py:63;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970;InvalidComparisonAnalysis:/tests/test_units.py:62;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002;InvalidComparisonAnalysis:/tests/test_units.py:428;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287,0,,30,InvalidComparisonAnalysis:/tests/test_units.py:436=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482=1;InvalidComparisonAnalysis:/tests/test_units.py:427=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333=1;InvalidComparisonAnalysis:/tests/test_units.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970=1;InvalidComparisonAnalysis:/tests/test_units.py:62=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002=1;InvalidComparisonAnalysis:/tests/test_units.py:428=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287=1,0,,,
20260629_215400,f34a0e5e35e1db7f011266a3f9b7c876f285f7a9,a58d67f1e63097f4d428fff2fff6b5902267a417,1750016849,Error repaired in __all__,https://github.com/averbraeck/pydjunits/compare/a58d67f1e63097f4d428fff2fff6b5902267a417...f34a0e5e35e1db7f011266a3f9b7c876f285f7a9,1.0,99.73,0,,0,,30,InvalidComparisonAnalysis:/tests/test_units.py:436=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482=1;InvalidComparisonAnalysis:/tests/test_units.py:427=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333=1;InvalidComparisonAnalysis:/tests/test_units.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970=1;InvalidComparisonAnalysis:/tests/test_units.py:62=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002=1;InvalidComparisonAnalysis:/tests/test_units.py:428=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287=1,30,InvalidComparisonAnalysis:/tests/test_units.py:436=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482=1;InvalidComparisonAnalysis:/tests/test_units.py:427=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333=1;InvalidComparisonAnalysis:/tests/test_units.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970=1;InvalidComparisonAnalysis:/tests/test_units.py:62=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002=1;InvalidComparisonAnalysis:/tests/test_units.py:428=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287=1,,4.0
20260629_215400,502079b607d6a0b9d313a4b8e3024b1edefa1119,f34a0e5e35e1db7f011266a3f9b7c876f285f7a9,1750018238,Small demo for units,https://github.com/averbraeck/pydjunits/compare/f34a0e5e35e1db7f011266a3f9b7c876f285f7a9...502079b607d6a0b9d313a4b8e3024b1edefa1119,1.0,99.73,0,,0,,30,InvalidComparisonAnalysis:/tests/test_units.py:436=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482=1;InvalidComparisonAnalysis:/tests/test_units.py:427=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333=1;InvalidComparisonAnalysis:/tests/test_units.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970=1;InvalidComparisonAnalysis:/tests/test_units.py:62=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002=1;InvalidComparisonAnalysis:/tests/test_units.py:428=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287=1,30,InvalidComparisonAnalysis:/tests/test_units.py:436=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:947=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:368=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1112=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1004=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:482=1;InvalidComparisonAnalysis:/tests/test_units.py:427=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:979=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:490=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:187=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:333=1;InvalidComparisonAnalysis:/tests/test_units.py:63=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:360=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1133=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:970=1;InvalidComparisonAnalysis:/tests/test_units.py:62=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:455=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1163=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:538=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1002=1;InvalidComparisonAnalysis:/tests/test_units.py:428=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:547=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1094=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:779=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:1110=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:556=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydjunits/units.py:287=1,,20.0
